time	V(n002)	I(Re)	I(Rs)
0.000000000000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.872457089900439e-05	8.989466e-05	1.170286e-08	1.170286e-08
3.744914179800878e-05	1.969089e-04	2.340571e-08	2.340571e-08
5.617371269701317e-05	3.210428e-04	3.510857e-08	3.510857e-08
7.489828359601756e-05	4.622963e-04	4.681143e-08	4.681143e-08
9.362285449502195e-05	6.206694e-04	5.851429e-08	5.851429e-08
1.123474253940263e-04	7.961621e-04	7.021714e-08	7.021714e-08
1.310719962930307e-04	9.887744e-04	8.192000e-08	8.192000e-08
2.621439925860614e-04	2.657321e-03	1.638400e-07	1.638400e-07
4.000000000000000e-04	4.862499e-03	2.500000e-07	2.500000e-07
4.400000000000000e-03	6.736239e-02	2.499998e-07	2.499998e-07
4.457142857142857e-03	6.793249e-02	2.142855e-07	2.142855e-07
4.514285714285715e-03	6.837853e-02	1.785712e-07	1.785712e-07
4.571428571428572e-03	6.870051e-02	1.428569e-07	1.428569e-07
4.628571428571429e-03	6.889842e-02	1.071427e-07	1.071427e-07
4.685714285714286e-03	6.897227e-02	7.142837e-08	7.142837e-08
4.742857142857143e-03	6.892207e-02	3.571409e-08	3.571409e-08
4.800000000000000e-03	6.874780e-02	-2.014163e-13	-2.014167e-13
4.000000000000000e-02	6.874584e-02	-2.014046e-13	-2.014042e-13
4.005714285714286e-02	6.908583e-02	3.571408e-08	3.571408e-08
4.011428571428571e-02	6.954416e-02	7.142836e-08	7.142836e-08
4.017142857142857e-02	7.012081e-02	1.071426e-07	1.071426e-07
4.022857142857143e-02	7.081579e-02	1.428569e-07	1.428569e-07
4.028571428571429e-02	7.162911e-02	1.785712e-07	1.785712e-07
4.034285714285714e-02	7.256075e-02	2.142855e-07	2.142855e-07
4.040000000000000e-02	7.361073e-02	2.499998e-07	2.499998e-07
4.440000000000000e-02	1.361102e-01	2.499980e-07	2.499980e-07
4.445714285714285e-02	1.366273e-01	2.142836e-07	2.142836e-07
4.451428571428571e-02	1.370376e-01	1.785693e-07	1.785693e-07
4.457142857142857e-02	1.373414e-01	1.428550e-07	1.428550e-07
4.462857142857142e-02	1.375385e-01	1.071407e-07	1.071407e-07
4.468571428571428e-02	1.376291e-01	7.142640e-08	7.142640e-08
4.474285714285713e-02	1.376129e-01	3.571211e-08	3.571211e-08
4.479999999999999e-02	1.374902e-01	-2.161549e-12	-2.161549e-12
8.000000000000000e-02	1.374824e-01	-2.161931e-12	-2.161932e-12
8.005714285714285e-02	1.378627e-01	3.571210e-08	3.571210e-08
8.011428571428572e-02	1.383478e-01	7.142635e-08	7.142635e-08
8.017142857142857e-02	1.389378e-01	1.071406e-07	1.071406e-07
8.022857142857143e-02	1.396325e-01	1.428548e-07	1.428548e-07
8.028571428571428e-02	1.404322e-01	1.785690e-07	1.785690e-07
8.034285714285715e-02	1.413366e-01	2.142832e-07	2.142832e-07
8.040000000000000e-02	1.423459e-01	2.499974e-07	2.499974e-07
8.440000000000000e-02	2.048427e-01	2.499723e-07	2.499723e-07
8.445714285714286e-02	2.054131e-01	2.142574e-07	2.142574e-07
8.451428571428572e-02	2.058593e-01	1.785426e-07	1.785426e-07
8.457142857142858e-02	2.061812e-01	1.428280e-07	1.428280e-07
8.462857142857143e-02	2.063789e-01	1.071135e-07	1.071135e-07
8.468571428571428e-02	2.064524e-01	7.139910e-08	7.139910e-08
8.474285714285715e-02	2.064016e-01	3.568487e-08	3.568487e-08
