time	V(n002)	I(Re)	I(Rs)
0.000000000000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.872457089900439e-05	8.832024e-05	1.148206e-08	1.170286e-08
3.744914179800878e-05	1.929395e-04	2.292337e-08	2.340571e-08
5.617371269701317e-05	3.138578e-04	3.432393e-08	3.510857e-08
7.489828359601756e-05	4.510752e-04	4.568374e-08	4.681143e-08
9.362285449502195e-05	6.045915e-04	5.700281e-08	5.851429e-08
1.123474253940263e-04	7.744070e-04	6.828112e-08	7.021714e-08
1.310719962930307e-04	9.605214e-04	7.951869e-08	8.192000e-08
2.621439925860614e-04	2.561228e-03	1.574369e-07	1.638400e-07
4.000000000000000e-04	4.663752e-03	2.383406e-07	2.500000e-07
7.922637873029871e-04	1.018637e-02	2.245341e-07	2.500000e-07
1.184527574605974e-03	1.542957e-02	2.114260e-07	2.500000e-07
1.576791361908961e-03	2.039336e-02	1.990166e-07	2.500000e-07
1.969055149211948e-03	2.507773e-02	1.873056e-07	2.500000e-07
2.361318936514936e-03	2.948268e-02	1.762932e-07	2.500000e-07
2.753582723817923e-03	3.360822e-02	1.659794e-07	2.500000e-07
3.145846511120909e-03	3.745434e-02	1.563641e-07	2.499999e-07
3.325011295246494e-03	3.914826e-02	1.521293e-07	2.499999e-07
3.504176079372078e-03	4.079993e-02	1.480001e-07	2.499999e-07
3.683340863497662e-03	4.240935e-02	1.439766e-07	2.499999e-07
3.862505647623247e-03	4.397652e-02	1.400586e-07	2.499999e-07
4.041670431748832e-03	4.550144e-02	1.362463e-07	2.499999e-07
4.220835215874416e-03	4.698411e-02	1.325396e-07	2.499999e-07
4.400000000000000e-03	4.842454e-02	1.289386e-07	2.499999e-07
4.457142857142857e-03	4.855626e-02	9.289497e-08	2.142856e-07
4.514285714285715e-03	4.856815e-02	5.715095e-08	1.785713e-07
4.571428571428572e-03	4.846022e-02	2.170650e-08	1.428570e-07
4.628571428571429e-03	4.823246e-02	-1.343839e-08	1.071428e-07
4.685714285714286e-03	4.788488e-02	-4.828373e-08	7.142847e-08
4.742857142857143e-03	4.741747e-02	-8.282949e-08	3.571419e-08
4.800000000000000e-03	4.683024e-02	-1.170757e-07	-9.796885e-14
5.412154939682474e-03	4.270507e-02	-1.067628e-07	-8.552857e-14
6.024309879364947e-03	3.887991e-02	-9.719985e-08	-7.446515e-14
6.636464819047420e-03	3.535476e-02	-8.838697e-08	-6.477862e-14
7.248619758729894e-03	3.212963e-02	-8.032413e-08	-5.646896e-14
7.860774698412367e-03	2.920451e-02	-7.301132e-08	-4.953617e-14
8.472929638094840e-03	2.657940e-02	-6.644855e-08	-4.398027e-14
9.085084577777312e-03	2.425431e-02	-6.063581e-08	-3.980123e-14
9.726825649205881e-03	2.202100e-02	-5.505253e-08	-3.554055e-14
1.036856672063445e-02	1.995648e-02	-4.989122e-08	-3.167014e-14
1.101030779206302e-02	1.806075e-02	-4.515190e-08	-2.819001e-14
1.165204886349159e-02	1.633381e-02	-4.083454e-08	-2.510014e-14
1.229378993492016e-02	1.477565e-02	-3.693916e-08	-2.240055e-14
1.293553100634873e-02	1.338629e-02	-3.346575e-08	-2.009123e-14
1.357727207777730e-02	1.216572e-02	-3.041432e-08	-1.817218e-14
1.424691493492015e-02	1.100103e-02	-2.750259e-08	-1.631759e-14
1.491655779206301e-02	9.927243e-03	-2.481812e-08	-1.462037e-14
1.558620064920586e-02	8.944359e-03	-2.236091e-08	-1.308052e-14
1.625584350634872e-02	8.052380e-03	-2.013096e-08	-1.169805e-14
1.692548636349157e-02	7.251305e-03	-1.812827e-08	-1.047294e-14
1.759512922063443e-02	6.541133e-03	-1.635284e-08	-9.405213e-15
1.826477207777728e-02	5.921865e-03	-1.480467e-08	-8.494854e-15
1.901812029206299e-02	5.291098e-03	-1.322775e-08	-7.564796e-15
1.977146850634870e-02	4.714043e-03	-1.178512e-08	-6.716753e-15
2.052481672063441e-02	4.190703e-03	-1.047676e-08	-5.950723e-15
2.127816493492013e-02	3.721076e-03	-9.302695e-09	-5.266707e-15
2.203151314920584e-02	3.305162e-03	-8.262911e-09	-4.664706e-15
2.278486136349155e-02	2.942963e-03	-7.357411e-09	-4.144719e-15
2.353820957777726e-02	2.634476e-03	-6.586195e-09	-3.706746e-15
2.445896850634869e-02	2.299347e-03	-5.748371e-09	-3.230061e-15
2.537972743492011e-02	1.997093e-03	-4.992735e-09	-2.800744e-15
2.630048636349154e-02	1.727714e-03	-4.319287e-09	-2.418797e-15
2.722124529206296e-02	1.491210e-03	-3.728027e-09	-2.084218e-15
2.814200422063439e-02	1.287581e-03	-3.218955e-09	-1.797008e-15
2.906276314920581e-02	1.116828e-03	-2.792071e-09	-1.557168e-15
2.998352207777724e-02	9.789495e-04	-2.447375e-09	-1.364696e-15
3.126700422063439e-02	8.143984e-04	-2.035997e-09	-1.134531e-15
3.255048636349155e-02	6.698094e-04	-1.674524e-09	-9.323860e-16
3.383396850634871e-02	5.451825e-04	-1.362957e-09	-7.582623e-16
3.511745064920587e-02	4.405178e-04	-1.101295e-09	-6.121595e-16
3.640093279206303e-02	3.558152e-04	-8.895385e-10	-4.940776e-16
